Стоимость тарифа,Дата создания,Глубина бронирования,Дата заезда,День,Количество бронирований
7,2015-03-16,14,2015-03-30,2,95
3,2015-05-20,12,2015-05-27,2,153
3,2015-05-20,12,2015-05-28,2,154
3,2015-05-20,12,2015-05-29,1,155
3,2015-05-20,11,2015-05-30,3,156
5,2015-07-31,4,2015-07-31,1,218
4,2015-07-22,24,2015-08-15,2,233
4,2015-07-22,27,2015-08-16,1,234
4,2015-07-22,28,2015-08-17,1,235
4,2015-07-22,27,2015-08-18,1,236
4,2015-07-22,31,2015-08-19,1,237
4,2015-07-22,30,2015-08-20,1,238
4,2015-07-22,34,2015-08-21,1,239
4,2015-07-22,35,2015-08-22,1,240
4,2015-07-22,35,2015-08-23,1,241
5,2015-08-31,5,2015-08-31,2,249
2,2015-10-30,33,2015-11-28,1,338
2,2015-10-30,35,2015-11-29,1,339
2,2015-10-30,33,2015-11-30,1,340
5,2015-11-19,26,2015-12-10,3,350
7,2015-12-13,16,2015-12-25,8,365
7,2015-12-13,15,2015-12-26,4,366
3,2015-12-13,3,2015-12-13,3,353
18,2015-01-04,3,2015-01-04,2,10
18,2015-01-04,3,2015-01-05,2,11
18,2015-01-07,6,2015-01-08,4,14
18,2015-01-07,7,2015-01-09,3,15
13,2014-12-23,20,2015-01-07,5,13
4,2015-01-30,22,2015-02-19,7,56
4,2015-01-30,26,2015-02-20,7,57
4,2015-01-30,24,2015-02-21,5,58
4,2015-01-30,25,2015-02-22,5,59
4,2015-01-30,27,2015-02-23,2,60
4,2015-01-30,29,2015-02-24,3,61
4,2015-01-30,27,2015-02-25,3,62
4,2015-01-30,28,2015-02-26,4,63
4,2015-01-30,28,2015-02-27,4,64
4,2015-01-30,34,2015-02-28,4,65
4,2015-01-30,32,2015-03-01,5,66
4,2015-01-30,35,2015-03-02,6,67
6,2015-03-25,4,2015-03-28,5,93
6,2015-03-25,8,2015-03-29,4,94
6,2015-03-25,9,2015-03-30,3,95
6,2015-03-25,6,2015-03-31,6,96
6,2015-03-25,12,2015-04-01,5,97
6,2015-03-25,8,2015-04-02,5,98
6,2015-03-25,11,2015-04-03,1,99
3,2015-05-29,6,2015-06-01,4,158
7,2015-08-13,20,2015-09-02,3,251
7,2015-08-13,23,2015-09-03,2,252
7,2015-08-13,27,2015-09-04,2,253
7,2015-08-13,26,2015-09-05,1,254
7,2015-08-13,29,2015-09-06,1,255
7,2015-08-13,29,2015-09-07,1,256
7,2015-08-13,30,2015-09-08,2,257
7,2015-08-13,27,2015-09-09,2,258
7,2015-08-13,31,2015-09-10,3,259
7,2015-08-13,31,2015-09-11,3,260
7,2015-08-13,30,2015-09-12,2,261
7,2015-08-13,31,2015-09-13,1,262
4,2015-09-28,1,2015-09-28,3,277
4,2015-09-28,2,2015-09-29,3,278
4,2015-09-28,5,2015-09-30,3,279
4,2015-09-28,6,2015-10-01,3,280
5,2015-10-05,2,2015-10-06,4,285
5,2015-10-05,5,2015-10-07,3,286
5,2015-10-05,8,2015-10-08,3,287
5,2015-10-01,1,2015-10-02,2,281
5,2015-10-01,6,2015-10-03,2,282
5,2015-10-01,6,2015-10-04,2,283
5,2015-10-01,7,2015-10-05,3,284
8,2015-12-19,0,2015-12-19,4,359
4,2015-10-24,3,2015-10-24,3,303
4,2015-10-24,5,2015-10-25,1,304
4,2015-10-24,4,2015-10-26,3,305
10,2015-01-23,2,2015-01-24,8,30
10,2015-01-23,2,2015-01-25,3,31
10,2015-01-23,8,2015-01-26,2,32
10,2015-01-23,9,2015-01-27,3,33
20,2014-12-24,15,2015-01-05,3,11
20,2014-12-24,13,2015-01-06,2,12
20,2014-12-24,18,2015-01-07,6,13
20,2014-12-24,19,2015-01-08,5,14
8,2014-12-31,2,2015-01-02,2,8
8,2014-12-31,5,2015-01-03,2,9
16,2015-03-06,5,2015-03-06,5,71
16,2015-03-06,5,2015-03-07,6,72
16,2015-03-06,7,2015-03-08,4,73
8,2015-02-15,14,2015-03-01,6,66
8,2015-02-15,18,2015-03-02,7,67
8,2015-02-15,19,2015-03-03,5,68
12,2015-02-03,18,2015-02-17,1,54
12,2015-02-03,17,2015-02-18,6,55
12,2015-02-03,17,2015-02-19,8,56
3,2015-08-16,3,2015-08-16,2,234
3,2015-08-16,5,2015-08-17,2,235
3,2015-08-16,5,2015-08-18,2,236
3,2015-08-16,5,2015-08-19,2,237
3,2015-08-16,8,2015-08-20,2,238
3,2015-08-16,8,2015-08-21,2,239
3,2015-08-16,9,2015-08-22,2,240
4,2015-07-31,2,2015-07-31,2,218
4,2015-07-31,1,2015-08-01,1,219
3,2015-06-11,3,2015-06-11,6,168
3,2015-06-11,5,2015-06-12,7,169
3,2015-06-11,3,2015-06-13,6,170
3,2015-06-11,3,2015-06-14,3,171
9,2015-01-22,8,2015-01-28,4,34
9,2015-01-22,11,2015-01-29,5,35
9,2015-01-22,10,2015-01-30,5,36
9,2015-01-22,10,2015-01-31,6,37
9,2015-01-22,4,2015-01-24,9,30
9,2015-01-22,4,2015-01-25,4,31
9,2015-01-22,7,2015-01-26,3,32
14,2015-02-17,5,2015-02-17,2,54
14,2015-02-17,6,2015-02-18,7,55
14,2015-02-17,3,2015-02-19,9,56
14,2015-02-17,3,2015-02-20,8,57
14,2015-02-17,9,2015-02-21,6,58
14,2015-02-17,7,2015-02-22,6,59
6,2015-02-11,20,2015-03-02,8,67
6,2015-02-11,22,2015-03-03,6,68
6,2015-02-11,26,2015-03-04,6,69
6,2015-02-11,23,2015-03-05,5,70
6,2015-02-11,26,2015-03-06,6,71
6,2015-02-11,27,2015-03-07,7,72
5,2015-05-27,5,2015-05-27,3,153
